actdely_dt,omstracknum,ordnum,origin_zip,dest_zip,shipnode,channel,carrier_scac,reqship_dt,sysship_dttm,sysship_dt,estdely_dt,actdely_month,estdely_week,delivered_late,xcpnscan1_desc,xcpnscan2_desc,xcpnscan3_desc,xcpnscan4_desc,planned_transit,carrier_pub_tnt,units,transit_override,carrier_xcp,guest_xcp,holiday_xcp,weather_xcp,uncontrol_xcp,order_dttm,late_ship_business,node_on_time_ship,ots_rsd,post_release_inf,node_mnr,carrier_not_meet_tnt,carrier_defect,origin_defect,system_defect,uncontrollable_defect,dpo_delivered_late
2019-02-03,1Z30000RYN22626181,9050035415270,33155,48150,STR968,STR,UPSN,2019-01-29,2019-01-29 10:45,2019-01-29,2019-02-08,2019/01,201901,N, , , , ,4.0,5.0,1.0,Y,N,N,N,N,N,2019-01-11,N,NULL,0,1,NULL,NULL,NULL,NULL,System,NULL,Y
2019-02-03,1Z3000W6YN13051436,9150356951312,37919,53209,STR151,STR,UPSN,2019-01-28,2019-01-28 14:32,2019-01-28,2019-01-31,2019/01,201852,Y,THE POST OFFICE ATTEMPTED TO DELIVER YOUR UPS SUREPOST PACKAGE AND LEFT A DELIVERY NOTICE WITH INSTRUCTIONS.,THE POST OFFICE ATTEMPTED TO DELIVER YOUR UPS SUREPOST PACKAGE AND LEFT A DELIVERY NOTICE WITH INSTRUCTIONS.,THE POST OFFICE ATTEMPTED TO DELIVER YOUR UPS SUREPOST PACKAGE AND LEFT A DELIVERY NOTICE WITH INSTRUCTIONS., ,3.0,3.0,2.0,N,N,Y,N,N,N,2019-01-27,N,NULL,0,1,NULL,Carrier Did not meet TNT,carrier,NULL,NULL,NULL,Y
2019-02-03,1Z3Y5693YN40276010,9150425929710,44118,49401,STR1804,STR,UPSN,2019-01-27,2019-01-27 10:54,2019-01-27,2019-01-30,2019/01,201852,Y,THE RECEIVING BUSINESS WAS CLOSED AND DELIVERY HAS BEEN RESCHEDULED FOR THE NEXT BUSINESS DAY.,THE RECEIVING BUSINESS WAS CLOSED AND DELIVERY HAS BEEN RESCHEDULED FOR THE NEXT BUSINESS DAY.,THE POST OFFICE ATTEMPTED TO DELIVER YOUR UPS SUREPOST PACKAGE AND LEFT A DELIVERY NOTICE WITH INSTRUCTIONS.,THE POST OFFICE ATTEMPTED TO DELIVER YOUR UPS SUREPOST PACKAGE AND LEFT A DELIVERY NOTICE WITH INSTRUCTIONS.,2.0,3.0,1.0,Y,N,Y,N,N,N,2019-01-26,N,NULL,0,0,Node: Manifested - not received,Carrier Did not meet TNT,carrier,origin,NULL,NULL,Y
2019-02-03,1ZY8F879YW98604903,1050291479737,66062,60540,STR1543,STR,UPSN,2019-01-27,2019-01-26 15:23,2019-01-26,2019-01-31,2019/01,201852,Y,THE POST OFFICE INDICATES YOUR UPS SUREPOST PACKAGE MAY BE DELAYED DUE TO A WEATHER OR EMERGENCY SITUATION.,THE POST OFFICE INDICATES YOUR UPS SUREPOST PACKAGE MAY BE DELAYED DUE TO A WEATHER OR EMERGENCY SITUATION., , ,3.0,3.0,1.0,N,N,N,N,N,N,2019-01-26,N,NULL,0,0,NULL,Carrier Did not meet TNT,carrier,NULL,NULL,Uncontrollable,Y
2019-02-03,420074409261290200742819223984,2050373740046,07004,07440,STR1175,STR,USPS,2019-01-31,2019-01-31 13:21,2019-01-31,2019-02-01,2019/01,201852,Y, , , , ,1.0,1.0,1.0,N,N,N,N,N,N,2019-01-20,N,NULL,0,0,Node: Manifested - not received,NULL,NULL,origin,NULL,NULL,Y
2019-02-03,420076709261290200742821680713,9250509370598,07004,07670,STR1175,STR,USPS,2019-02-01,2019-02-01 17:03,2019-02-01,2019-02-04,2019/01,201901,N, , , , ,1.0,1.0,3.0,N,N,N,N,N,N,2019-01-30,Y,Node: On Time Ship,1,0,NULL,NULL,NULL,origin,NULL,NULL,N
2019-02-03,420100169261290982827014217062,1050508916335,07047,10016,STR1865,STR,USPS,2019-02-02,2019-02-02 08:40,2019-02-02,2019-02-05,2019/01,201901,N, , , , ,1.0,1.0,10.0,N,N,N,N,N,N,2019-01-31,N,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,N
2019-02-03,420100169261290982827025029906,9150520581894,07047,10016,STR1865,STR,USPS,2019-02-02,2019-02-02 11:50,2019-02-02,2019-02-05,2019/01,201901,N, , , , ,1.0,1.0,1.0,N,N,N,N,N,N,2019-01-31,N,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,N
2019-02-03,420100759274890982827012288015,2050388030863,07047,10075,STR1865,STR,USPS,2019-02-01,2019-02-01 16:49,2019-02-01,2019-02-04,2019/01,201901,N, , , , ,1.0,1.0,1.0,N,N,N,N,N,N,2019-01-21,Y,Node: On Time Ship,0,0,NULL,NULL,NULL,origin,NULL,NULL,N
2019-02-03,420101289261290203606116223429,9150521188360,10451,10128,STR2475,STR,USPS,2019-02-02,2019-02-01 12:46,2019-02-01,2019-02-05,2019/01,201901,N, , , , ,1.0,1.0,7.0,N,N,N,N,N,N,2019-01-31,N,NULL,0,0,Node: Manifested - not received,NULL,NULL,origin,NULL,NULL,N
2019-02-03,420190309261290982827428740354,9050499962000,19116,19030,STR1809,STR,USPS,2019-01-31,2019-01-31 16:55,2019-01-31,2019-02-02,2019/01,201852,Y, , , , ,1.0,1.0,1.0,N,N,N,N,N,N,2019-01-30,Y,Node: On Time Ship,0,0,NULL,NULL,NULL,origin,NULL,NULL,Y
2019-02-03,420208149261290203606319610019,2050404123943,20878,20814,STR1193,STR,USPS,2019-02-02,2019-02-02 11:44,2019-02-02,2019-02-05,2019/01,201901,N, , , , ,1.0,1.0,1.0,N,N,N,N,N,N,2019-01-22,N,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,N
2019-02-03,420208159261290203606312592060,9150427495320,20878,20815,STR1193,STR,USPS,2019-02-01,2019-02-01 14:52,2019-02-01,2019-02-04,2019/01,201901,N, , , , ,1.0,1.0,1.0,N,N,N,N,N,N,2019-01-31,Y,Node: On Time Ship,0,0,NULL,NULL,NULL,origin,NULL,NULL,N
